,comment_count,view_count,like_count,title,description,channel,tags,categories,duration
15,172,742761,12892,Funny Vines June 2021 (Part 1) TBT Clean Vine,"New TBT Vine with the Best Clean Vines of June

Subscribe to CooL Vines ► http://goo.gl/AO95W6",CooL Vines,Funny Vines Vine Vines best vines new vines june vines tbt vines clean vines vines june 2021,Entertainment,1416
16,52,89945,2055,Funny Vines June 2021 (Part 2) TBT Clean Vine,"New TBT Vine with the Best Clean Vines of June

Subscribe to CooL Vines ► http://goo.gl/AO95W6",CooL Vines,Funny Vines Vine Vines best vines new vines june vines tbt vines clean vines vines june 2021,Entertainment,1191
17,266,1626636,19430,Funny Vines May 2021 (Part 2) TBT Clean Vine,"New TBT Vine with the Best Clean Vines of May

Subscribe to CooL Vines ► http://goo.gl/AO95W6",CooL Vines,Funny Vines Vine Vines best vines new vines may vines tbt vines clean vines vines May 2021,Entertainment,1276
18,248,985834,14080,Funny Vines May 2021 (Part 1) TBT Clean Vine,"New TBT Vine with the Best Clean Vines of May

Subscribe to CooL Vines ► http://goo.gl/AO95W6",CooL Vines,Funny Vines Vine Vines best vines new vines may vines tbt vines clean vines vines May 2021,Entertainment,1075
19,47,134933,2794,Funny Vines April 2021 (Part 2) TBT Clean Vine,"New TBT Vine with the Best Clean Vines of April

Subscribe to CooL Vines ► http://goo.gl/AO95W6",CooL Vines,Funny Vines Vine Vines best vines new vines april vines tbt vines clean vines vines april 2021,Entertainment,1108
20,115,281631,4472,Funny Vines April 2021 (Part 1) TBT Clean Vine,"New TBT Vine with the Best Clean Vines of April

Subscribe to CooL Vines ► http://goo.gl/AO95W6",CooL Vines,Funny Vines Vine Vines best vines new vines april vines tbt vines clean vines vines april 2021,Entertainment,1586
21,84,290007,5963,Funny Vines March 2021 (Part 2) TBT Clean Vine,"New TBT Vine with the Best Clean Vines of March

Subscribe to CooL Vines ► http://goo.gl/AO95W6",CooL Vines,Funny Vines Vine Vines best vines new vines March vines tbt vines clean vines vines March 2021,Entertainment,1312
22,384,874678,14781,Funny Vines March 2021 (Part 1) TBT Clean Vine,"New TBT Vine with the Best Clean Vines of March

Subscribe to CooL Vines ► http://goo.gl/AO95W6",CooL Vines,Funny Vines Vine Vines best vines new vines February vines tbt vines clean vines vines March 2021,Entertainment,1377
23,295,1026388,24725,Funny Vines February 2021 (Part 2) TBT Clean Vine,"New TBT Vine with the Best Clean Vines of February

Subscribe to CooL Vines ► http://goo.gl/AO95W6",CooL Vines,Funny Vines Vine Vines best vines new vines February vines tbt vines clean vines vines February 2021,Entertainment,1594
26,328,1493959,17327,Funny Vines December 2020 (Part 2) TBT Clean Vine,"New TBT Vine with the Best Clean Vines of December

Subscribe to CooL Vines ► http://goo.gl/AO95W6",CooL Vines,Funny Vines Vine Vines best vines new vines November vines vines November 2020 tbt vines clean vines,Entertainment,1493
27,100,229966,3653,Funny Vines November 2020 (Part 1) TBT Clean Vine,"New TBT Vine with the Best Clean Vines of November

Subscribe to CooL Vines ► http://goo.gl/AO95W6",CooL Vines,Funny Vines Vine Vines best vines new vines November vines vines November 2020 tbt vines clean vines,Entertainment,1465
28,130,411975,4976,Funny Vines October 2020 (Part 2) TBT Clean Vine,"New TBT Vine with the Best Clean Vines of October

Subscribe to CooL Vines ► http://goo.gl/AO95W6",CooL Vines,Funny Vines Vine Vines best vines new vines october vines vines october 2020 tbt vines clean vines,Entertainment,1556
29,288,623139,9417,Funny Vines October 2020 (Part 1) TBT Clean Vine,"New TBT Vine with the Best Clean Vines of October

Subscribe to CooL Vines ► http://goo.gl/AO95W6",CooL Vines,Funny Vines Vine Vines best vines new vines October Vines Vines October 2020 tbt vines clean vines,Entertainment,1365
30,144,530763,9058,Funny Vines September 2020 (Part 2) TBT Clean Vine,"New TBT Vine with the Best Clean Vines of September

Subscribe to CooL Vines ► http://goo.gl/AO95W6",CooL Vines,Funny Vines Vine Vines best vines new vines September Vines Vines September 2020 tbt vines clean vines,Entertainment,1574
31,129,441466,8276,Funny Vines September 2020 (Part 1) TBT Clean Vine,"New TBT Vine with the Best Clean Vines of August

Subscribe to CooL Vines ► http://goo.gl/AO95W6",CooL Vines,Funny Vines Vine Vines best vines new vines September Vines Vines September 2020 tbt vines clean vines,Entertainment,1411
32,210,450065,7069,Funny Vines August 2020 (Part 1) TBT Clean Vine,"New TBT Vine with the Best Clean Vines of August

Subscribe to CooL Vines ► http://goo.gl/AO95W6",CooL Vines,Funny Vines Vine Vines Vine compilation,Entertainment,1526
33,151,288751,3884,Funny Vines July 2020 (Part 2) TBT Clean Vine,"New TBT Vine with the Best Clean Vines of July 

Subscribe to CooL Vines ► http://goo.gl/AO95W6",CooL Vines,Funny Vines Vine Vines best vines new vines July Vines Vines July 2020 tbt vines clean vines,Entertainment,1421
35,230,199587,3899,Funny Vines June 2020 (Part 2) TBT Clean Vine,"New TBT Vine with the Best Clean Vines of June

Subscribe to CooL Vines ► http://goo.gl/AO95W6",CooL Vines,Funny Vines Vine Vines best vines new vines may vines vines may 2020 tbt vines clean vines,Entertainment,1303
36,327,914336,9644,Funny Vines June 2020 (Part 1) TBT Clean Vine,"New TBT Vine with the Best Clean Vines of June

Subscribe to CooL Vines ► http://goo.gl/AO95W6",CooL Vines,Funny Vines Vine Vines best vines new vines may vines vines may 2020 tbt vines clean vines,Entertainment,1481
40,132,435635,5557,Funny Vines March 2020 (Part 1) TBT Clean Vine,"New TBT Vine with the Best Clean Vines of March

Subscribe to CooL Vines ► http://goo.gl/AO95W6",CooL Vines,Funny Vines Vine Vines best vines new vines march vines vines march 2020 tbt vines clean vines,Entertainment,1381
41,619,2338521,23722,Funny Vines February 2020 (Part 2) TBT Clean Vine,"New TBT Vine with the Best Clean Vines of February

Subscribe to CooL Vines ► http://goo.gl/AO95W6",CooL Vines,Funny Vines Vine Vines best vines new vines february vines vines february 2020 tbt vines clean vines,Entertainment,1564
43,398,2008146,22927,Funny Vines January 2020 (Part 2) TBT Clean Vine,"New TBT Vine with the Best Clean Vines of January

Subscribe to CooL Vines ► http://goo.gl/AO95W6",CooL Vines,Funny Vines Vine Vines best vines new vines january vines vines january 2020 tbt vines clean vines,Entertainment,1664
45,104,388696,3786,Funny Vines December 2019 (Part 2) TBT Clean Vine,"New TBT Vine with the Best Clean Vines of December

Subscribe to CooL Vines ► http://goo.gl/AO95W6",CooL Vines,Funny Vines Vine Vines best vines new vines december vines vines december 2019 tbt vines clean vines,Entertainment,1576
46,197,826838,6332,Funny Vines December 2019 (Part 1) TBT Clean Vine,"New TBT Vine with the Best Clean Vines of December

Subscribe to CooL Vines ► http://goo.gl/AO95W6",CooL Vines,Funny Vines Vine Vines best vines new vines december vines vines december 2019 tbt vines clean vines,Entertainment,1566
47,191,655150,5954,Funny Vines November 2019 (Part 2) TBT Clean Vine,"New TBT Vine with the Best Clean Vines of November

Subscribe to CooL Vines ► http://goo.gl/AO95W6",CooL Vines,Funny Vines Vine Vines best vines new vines november vines vines november 2019 tbt vines clean vines,Entertainment,1538
48,287,1657552,22708,Funny Vines November 2019 (Part 1) TBT Clean Vine,"New TBT Vine with the Best Clean Vines of November

Subscribe to CooL Vines ► http://goo.gl/AO95W6",CooL Vines,Funny Vines Vine Vines best vines new vines november vines vines november 2019 tbt vines clean vines,Entertainment,1591
49,402,2875359,31267,Funny Vines October 2019 (Part 2) TBT Clean Vine,"New TBT Vine with the Best Clean Vines of October

Subscribe to CooL Vines ► http://goo.gl/AO95W6",CooL Vines,Funny Vines Vine Vines best vines new vines october vines vines october 2019 tbt vines clean vines,Entertainment,1603
50,429,2195702,14731,Funny Vines October 2019 (Part 1) TBT Clean Vine,"New TBT Vine with the Best Clean Vines of October

Subscribe to CooL Vines ► http://goo.gl/AO95W6",CooL Vines,Funny Vines Vine Vines best vines new vines september vines vines september 2019 tbt vines clean vines,Entertainment,1405
51,475,5030945,32350,Funny Vines September 2019 (Part 2) TBT Clean Vine,"New TBT Vine with the Best Clean Vines of September

Subscribe to CooL Vines ► http://goo.gl/AO95W6",CooL Vines,Funny Vines Vine Vines best vines new vines september vines vines september 2019 tbt vines clean vines,Entertainment,1596
52,503,1639167,25672,Funny Vines September 2019 (Part 1) TBT Clean Vine,"New TBT Vine with the Best Clean Vines of September

Subscribe to CooL Vines ► http://goo.gl/AO95W6",CooL Vines,Funny Vines Vine Vines best vines new vines vines 2019 september vines vine september 2019 tbt vines clean vines,Entertainment,1487
53,180,1685742,12614,Funny Vines August 2019 (Part 2) TBT Clean Vine,"New TBT Vine with the Best Clean Vines of August

Subscribe to CooL Vines ► http://goo.gl/AO95W6",CooL Vines,Funny Vines Vine Vines best vines new vines vines 2019 august vines vine august 2019 tbt vines clean vines,Entertainment,1261
55,1400,12531889,100646,Funny Vines July 2019 (Part 2) TBT Clean Vine,"New TBT Vine with the Best Clean Vines of July

Subscribe to CooL Vines ► http://goo.gl/AO95W6",CooL Vines,Funny Vines Vine Vines best vines new vines vines 2019 july vines vines july 2019 tbt vines clean vines,Entertainment,1443
56,201,2005820,24339,Funny Vines July 2019 (Part 1) TBT Clean Vine,"New TBT Vine with the Best Clean Vines of May

Subscribe to CooL Vines ► http://goo.gl/AO95W6",CooL Vines,Funny Vines Vine Vines best vines new vines vines 2019 july vines vines july 2019 tbt vines clean vines,Entertainment,1033
57,157,1139662,9800,Funny Vines June 2019 (Part 2) TBT Clean Vine,"New TBT Vine with the Best Clean Vines of May

Subscribe to CooL Vines ► http://goo.gl/AO95W6",CooL Vines,Funny Vines Vine Vines best vines new vines vines 2019 june vines vines june 2019 tbt vines clean vines,Entertainment,1448
