Date,Close,High,Low,Open,Volume,Target,SMA_5,SMA_10,EMA_5,EMA_10,RSI
2024-04-19,9146.5458984375,9170.679264924142,8977.612333031002,9025.879066004287,147784300,9025.87890625,9223.7724609375,9361.33251953125,9220.040925267704,9318.478559571482,37.78365006382254
2024-04-22,9025.87890625,9098.279004428476,9025.87890625,9074.145638368984,128908000,9387.87890625,9132.0658203125,9291.34580078125,9155.320252261803,9265.278622603939,35.70447581906298
2024-04-23,9387.87890625,9436.145635845116,9074.145163881749,9074.145163881749,178833000,9605.0791015625,9180.332421875,9279.2791015625,9232.839803591203,9287.569583266859,41.24998356096757
2024-04-24,9605.0791015625,9605.0791015625,9412.012184948178,9484.412278678548,132832700,9436.1455078125,9262.3857421875,9284.10576171875,9356.919569581636,9345.298586593339,47.72725287085179
2024-04-25,9436.1455078125,9653.345788043478,9363.745414402174,9653.345788043478,104874100,9291.345703125,9320.3056640625,9308.2390625,9383.328215658592,9361.816208633185,43.61701074353233
2024-04-26,9291.345703125,9484.412626826299,9291.345703125,9363.745799512986,100932900,9460.279296875,9349.265625,9286.51904296875,9352.667378147395,9349.003389449877,40.99999433485995
2024-04-29,9460.279296875,9508.546027981505,9194.812275789222,9194.812275789222,90063500,9460.279296875,9436.145703125,9284.10576171875,9388.538017723264,9369.23537261808,48.979593522086
2024-04-30,9460.279296875,9701.612952407526,9460.279296875,9701.612952407526,109623000,9218.9462890625,9450.62578125,9315.4791015625,9412.45177744051,9385.788813392066,47.916670179278064
2024-05-02,9218.9462890625,9556.813430546466,9170.679554564791,9556.813430546466,97079400,9508.5458984375,9373.39921875,9317.89248046875,9347.949947981175,9355.453808968508,50.54946081114672
2024-05-03,9508.5458984375,9508.5458984375,9339.612341866276,9412.012437539657,81200400,9460.279296875,9387.879296875,9354.09248046875,9401.481931466617,9383.288734326507,50.0
2024-05-06,9460.279296875,9532.679393534758,9436.145931321747,9508.546027981505,53076200,9363.7451171875,9421.666015625,9385.4658203125,9421.081053269412,9397.287018426232,49.45056117820743
2024-05-07,9363.7451171875,9412.011844595683,9291.345026075225,9363.7451171875,66746800,9050.01171875,9402.3591796875,9419.25244140625,9401.969074575441,9391.18849092828,55.55553335238365
2024-05-08,9050.01171875,9363.745458333333,9050.01171875,9267.212,112808900,9194.8125,9320.3056640625,9385.46572265625,9284.649955966961,9329.156350532228,46.73911417982595
2024-05-13,9194.8125,9194.8125,8881.078740157482,8881.078740157482,145469900,9218.9462890625,9315.47890625,9344.4390625,9254.704137311308,9304.730195890004,51.041664471285465
2024-05-14,9218.9462890625,9339.613125306774,9194.812921813646,9291.346390809063,95363500,9170.6787109375,9257.558984375,9322.719140625,9242.784854561705,9289.133121921366,51.546398633692625
2024-05-15,9170.6787109375,9267.212171052632,9098.278615851152,9170.6787109375,54741900,9267.212890625,9199.6388671875,9310.65244140625,9218.749473353637,9267.595956287936,53.1914811184422
2024-05-16,9267.212890625,9339.612991333008,9194.812789916992,9243.07952372233,61126000,9412.01171875,9180.332421875,9291.34580078125,9234.903945777425,9267.526307985583,46.987973540619286
2024-05-17,9412.01171875,9508.54517227564,9243.078175080127,9267.211538461539,99848500,9146.5458984375,9252.732421875,9286.51904296875,9293.939870101618,9293.796382670022,44.99998735460962
2024-05-20,9146.5458984375,9460.279662763853,9146.5458984375,9363.746196817283,87890100,9050.01171875,9243.0791015625,9279.27900390625,9244.808546213579,9267.023567355018,42.857156620841344
2024-05-21,9050.01171875,9243.078635416667,9050.01171875,9122.4118125,75311400,9098.2783203125,9209.2921875,9233.4255859375,9179.876270392386,9227.56686760865,43.90242939553797
2024-05-22,9098.2783203125,9243.078505781665,9001.744863333057,9146.545048802222,121712700,8977.611328125,9194.812109375,9197.22548828125,9152.67695369909,9204.05985900935,40.25972387980874
2024-05-27,8977.611328125,9050.011419480847,8953.477964339718,8977.611328125,128578500,8977.611328125,9136.891796875,9158.612109375,9094.321745174395,9162.88739884856,37.80485879107593
2024-05-28,8977.611328125,9074.144783266129,8977.611328125,8977.611328125,73945700,8832.8125,9050.01171875,9151.3720703125,9055.418272824598,9129.200840535184,43.055518868322174
2024-05-29,8832.8125,9001.746072404372,8832.8125,8953.479337431694,117351600,8688.01171875,8987.2650390625,9115.1720703125,8981.216348549733,9075.31205134697,28.78790015382927
2024-05-30,8688.01171875,8929.345377604166,8470.81142578125,8688.01171875,207115100,8929.3447265625,8914.8650390625,9062.07861328125,8883.481471949823,9004.89380905661,27.142865401068292
2024-05-31,8929.3447265625,8929.3447265625,8712.1444494299,8784.544541807432,756431600,8953.478515625,8881.0783203125,9037.94521484375,8898.769223487383,8991.157612239498,38.15789333569026
2024-06-03,8953.478515625,9025.878611438678,8905.211785082547,9025.878611438678,72197700,9025.87890625,8876.2517578125,9006.57177734375,8917.005654199922,8984.306867400497,46.87500790336898
2024-06-04,9025.87890625,9194.812468666443,9025.87890625,9194.812468666443,75353100,9122.412109375,8885.9052734375,8967.95849609375,8953.296738216615,8991.865419918588,44.262291819516996
2024-06-05,9122.412109375,9170.678840112434,8977.611917162698,9170.678840112434,82087300,9146.5458984375,8943.8251953125,8965.5451171875,9009.668528602744,9015.601181637934,46.87497431403457
2024-06-06,9146.5458984375,9194.812631410785,9122.412531950857,9194.812631410785,44991300,9001.7451171875,9035.53203125,8975.19853515625,9055.294318547663,9039.409311965128,49.20636653841954
2024-06-07,9001.7451171875,9170.67867166555,9001.7451171875,9170.67867166555,51599800,9194.8125,9050.012109375,8965.54521484375,9037.444584760942,9032.561276551014,41.53842801692072
2024-06-10,9194.8125,9194.8125,9122.412401574804,9170.679133858268,45584700,8977.611328125,9098.27890625,8987.26533203125,9089.900556507295,9062.061498996285,43.28361544250252
2024-06-11,8977.611328125,9218.944965977822,8977.611328125,9218.944965977822,68690900,8929.3447265625,9088.625390625,8987.26533203125,9052.470813713197,9046.706922474234,44.61535971373059
2024-06-12,8929.3447265625,9001.744818940033,8929.3447265625,8977.611454814189,49785700,8881.078125,9050.0119140625,8996.9185546875,9011.428784662965,9025.368341399373,46.03174399268286
2024-06-13,8881.078125,9146.545134171196,8881.078125,9146.545134171196,84652200,8881.078125,8996.918359375,9016.2251953125,8967.97856477531,8999.133756599487,42.857152032927125
2024-06-14,8881.078125,8929.344853940218,8784.544667119566,8881.078125,52986300,8736.2783203125,8972.7849609375,9011.39853515625,8939.011751516875,8977.669096308671,46.55173616682829
2024-06-19,8736.2783203125,8929.345244518301,8736.2783203125,8929.345244518301,100051000,9098.2783203125,8881.078125,8989.678515625,8871.433941115418,8933.779864309367,42.18752469801246
2024-06-20,9098.2783203125,9098.2783203125,8784.54458512931,8832.811313619031,81474800,9267.212890625,8905.2115234375,8996.91845703125,8947.048734181113,8963.688674491754,57.53420557100562
2024-06-21,9267.212890625,9339.612991333008,9074.145955403646,9146.546056111654,166841200,9267.212890625,8972.78515625,9011.39853515625,9053.77011966241,9018.874895606888,66.21620882666241
2024-06-24,9267.212890625,9412.013092041016,9243.07952372233,9267.212890625,79592300,9267.212890625,9050.012109375,9023.465234375,9124.917709983274,9064.027258337454,60.937514818788735
2024-06-25,9267.212890625,9267.212890625,9122.412689208984,9267.212890625,80029000,9170.6787109375,9127.2390625,9050.01201171875,9172.34943686385,9100.970100571552,60.31746541511497
2024-06-26,9170.6787109375,9315.478901110197,9122.411980879933,9194.812075966283,77913200,9412.01171875,9214.119140625,9047.5986328125,9171.792528221733,9113.64439336536,54.68747925369577
2024-06-27,9412.01171875,9412.01171875,9218.944811698717,9243.078175080127,89150700,9580.9462890625,9276.8658203125,9091.038671875,9251.865591731155,9167.892997980749,58.571393886981895
2024-06-28,9580.9462890625,9629.213020997324,9436.146093258028,9460.279459225441,166172300,9532.6796875,9339.6125,9156.198828125,9361.55915750827,9242.993596359249,61.842081443627215
